,RA,DEC,Z,AGN_TYPE,plateifu,r_band_abs_mag,SDSS_HA_EW,log_SFR_Ha,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen,SDSS_HA_EW_ERR,OIII_5007_LUM_DERRED,Re_kpc,Re_arc,PA,ellip,log_Mass,gz2_class,Edge on frac,Face on frac
77,173.5376,49.2546,0.037,2,8990-12705,-19.81,17.82869,-0.282039266268422,-1.46335775330526,-0.366726682045374,1.08239269577909,-0.296585936219651,0.26731578,2.6611691826280113e+41,2.21594003021061,3.03907,139.2909,0.37251044443881,10.41,Sb,0.06,0.94
78,203.8302,26.4248,0.025,2,8983-12701,-20.31,10.017298,-0.00955290591053048,-1.40602102448383,-0.136077654940872,0.731255255148186,-0.0104438795820225,0.1721575,2.566660841128571e+41,3.61380635174859,7.15699,167.7236,0.664051315811512,10.56,Sc?t,0.03,0.97
79,254.5421,62.4157,0.119,2,7992-9102,-22.65,16.392601,0.6634132463007,-1.40524124166966,0.0512087625371368,1.00898864261843,0.154422017076962,0.35455018,2.4476382157649126e+41,9.83272976976324,4.63331,127.7958,0.733835694873859,11.42,SBb2m(r),0.0,1.0
80,244.1674,18.9196,0.035,2,11976-6101,-20.18,14.548001,-0.226932677717674,-1.13948695506835,-0.0752580734758931,0.895399017983366,-0.11093861314132,0.22333173,2.4021197331939876e+41,2.23102277175986,3.2068636,203.22211,0.792053638428453,10.5,Ei,0.0,1.0
81,119.1822,44.8567,0.05,2,8718-12701,-21.01,13.969458,0.238119833203572,-1.35408395426633,-0.130925284862855,0.709191618150769,-0.0607877169982925,0.22663066,2.2752007797207784e+41,6.57852586052433,6.80994,177.5793,0.80619273600734,10.92,SBc2m,0.02,0.98
82,240.4709,45.3519,0.042,2,8549-12701,-21.41,15.012029,0.22083155919107,-1.63101638253917,0.08540099470995,0.63881302757828,0.00285484663606973,0.195116,2.2413670428595954e+41,2.94538219186416,3.59933,166.5107,0.629300584582598,10.92,Sb2m(r),0.0,1.0
83,189.2132,45.6512,0.03,1,8341-12704,-20.73,184.13782,0.543108863589815,-1.60587388724761,-0.153783593953846,0.665590993067688,-0.0884300591664269,0.9764165,2.1572707186629613e+41,5.0891639377122,8.42648,173.1837,0.496139187074555,10.76,SBc4t,0.03,0.97
84,122.9388,23.4738,0.016,2,9495-1901,-17.86,6.8227715,-1.68863529836866,-1.25331507516473,-0.348477929308705,0.664567346853481,-0.580114410482958,0.11785704,2.126943492721512e+41,0.60239146092403,1.89303,230.852,0.352807306591006,9.47,Er,0.0,1.0
85,247.8147,23.8826,0.059,1,9892-12702,-21.16,69.600044,0.660377289288125,-1.15051896040492,0.0650080182611025,0.695955276164006,0.0838292228849432,0.42458478,2.1130567300352085e+41,6.28956794887421,5.57644,110.4293,0.789355805644071,11.09,Sb?t(m),0.0,1.0
86,250.2818,22.8236,0.034,2,11978-6103,-20.19,24.014505,-0.377974009376947,-1.30709858587513,-0.220715708967692,0.834733062121721,-0.172968713755799,0.26712346,2.101715249310561e+41,1.51346109207587,2.260074,106.86438,0.285513793142888,10.54,Er,0.0,1.0
87,120.7007,45.0346,0.039,2,8718-12702,-21.21,10.810876,0.567131958422168,-1.46910415643159,0.0206792754147211,0.876595994736457,0.0584830125035271,0.17782931,2.075586630363899e+41,4.9725286635721,6.53185,104.2167,0.870568070684883,11.01,Ec,0.23,0.76
88,33.5246,-0.277,0.037,2,10223-3702,-19.39,25.5849,-0.326445990849041,-1.51929776448377,-0.386456938315598,0.693905664982293,-0.313570214850585,0.31085864,2.0676158794816954e+41,1.02749014316373,1.40206,229.076,0.471000393111301,10.12,Er,0.0,1.0
89,200.2228,32.1908,0.023,2,8442-9102,-19.8,17.200222,-0.347130251995105,-1.55747000207253,-0.277975465941994,0.778128540323675,-0.14439630712491,0.21719258,1.859497765484607e+41,3.40249478735289,7.38076,174.4398,0.744415212036267,10.25,SBb2m,0.02,0.98
90,252.1098,31.9263,0.054,2,11951-12702,-20.85,14.254218,0.263086572541662,-1.43334575475,-0.163698881384933,0.923692881700533,0.0417283279301288,0.31884816,1.6768069178053375e+41,7.95505886272827,7.620636,245.02966,0.72180009370839,10.89,SBc2m(r),0.06,0.94
91,133.65,1.435,0.051,2,12511-12701,-20.83,8.832661,0.348599550843692,-1.49545603508084,-0.350228902588782,0.566633243355427,-0.17268412297609,0.22542988,1.6705828311706685e+41,5.89793508922137,5.9696097,173.163025,0.701624320619914,10.55,SBc3t,0.04,0.96
92,201.1774,29.0496,0.023,2,12620-9101,-19.32,17.48442,-0.415275987659643,-1.41893294832197,-0.253441151521119,1.01508570057074,-0.0451917157956592,0.26323137,1.2144964212589334e+41,2.58728957004712,5.5116787,161.86041,0.657458909064163,10.22,Sc?t,0.0,1.0
93,1.5817,14.3274,0.018,2,12700-6101,-18.5,12.746583,-1.13430335544992,-1.75299348747992,-0.297708661568848,0.789972695346081,-0.0350999980703917,0.21279885,8.66665803679749e+40,2.06476848254242,5.648413,243.29834,0.884038816662492,9.71,-9999,0.91,0.09
94,127.1781,45.7426,0.049,1,8725-9102,-20.65,27.371313,0.25733906040241,-1.57441479821257,-0.404510857385645,0.746004868525224,-0.266233383861193,0.21690015,7.738269310560296e+40,4.29074704312736,4.52617,173.9615,0.718540614561905,10.7,Ei,0.33,0.67
