num,RA,DEC,Z,plateifu,Broad,AGN Type,ellip,log_Mass,gz2_class,Edge on frac,Face on frac,log_OI_Ha_cen,log_SII_Ha_cen,log_OIII_Hb_cen,log_NII_Ha_cen
72,152.6807,6.2004,0.098,10518-12704,,2,0.64,11.32,Sb1l(m),0.17,0.83,-1.495722694,-0.427799698,0.695301649,-0.117992648
73,159.3485,2.3126,0.04,10837-9102,,2,0.88,11.22,Sb(m),0.05,0.95,-1.229321791,0.046853949,0.289193482,-0.079113136
74,165.3915,45.6539,0.029,8993-12705,,2,0.68,11.12,Sb?t,0,1,-1.66606298,-0.168173672,1.09269507,0.006152081
75,166.5099,43.1735,0.058,8255-6101,,2,0.54,11.16,Er,0,1,-1.160169321,0.140175575,0.441133719,-0.012960408
76,173.5376,49.2546,0.037,8990-12705,,2,0.37,10.41,Sb,0.06,0.94,-1.463357753,-0.366726682,1.082392696,-0.296585936
77,182.2537,42.4753,0.024,8260-1901,,2,0.69,9.69,Ei,0,1,-1.776912284,-0.492827304,0.769384191,-0.771077922
78,192.0387,26.9392,0.023,11014-9101,,2,0.9,10.5,Ser,1,0,-1.767330661,0.04716758,1.070481796,-0.017766675
79,195.3213,53.8608,0.03,11955-12703,,2,0.74,10.94,SBb?t,0.06,0.94,-1.292083808,0.144397376,0.563990518,0.071758838
80,195.6684,51.7789,0.054,11831-12702,,2,0.48,11.33,SBc3t,0.03,0.97,-1.748833294,-0.019790109,0.887647439,0.176548469
81,199.8291,51.1267,0.029,11017-12701,,2,0.81,10.81,Sc2l,0,1,-1.447366265,0.026356439,0.670259178,0.002715984
82,200.2228,32.1908,0.023,8442-9102,,2,0.74,10.25,SBb2m,0.02,0.98,-1.557470002,-0.277975466,0.77812854,-0.144396307
83,201.1774,29.0496,0.024,12620-9101,,2,0.66,10.22,Sc?t,0,1,-1.418932948,-0.253441152,1.015085701,-0.045191716
84,203.8302,26.4248,0.025,8983-12701,,2,0.66,10.56,Sc?t,0.03,0.97,-1.406021024,-0.136077655,0.731255255,-0.01044388
86,206.6125,22.0767,0.028,8320-3704,,2,0.52,9.85,Er,0,1,-1.39149973,-0.123125263,0.990765799,-0.10336148
87,206.67,52.4768,0.029,9884-3704,,2,0.74,10.89,Ei,0.12,0.88,-1.382024051,0.036059732,0.870037932,-0.024038232
88,207.6082,23.4569,0.056,9882-9102,,2,0.67,10.91,Sb2m(i),0,1,-1.433867105,0.087184197,0.861435753,0.046486424
89,237.6516,51.398,0.05,8546-6103,,2,0.41,10.66,Sc(r),0,1,-1.714012856,-0.260370581,0.98680139,-0.088956515
90,240.4709,45.3519,0.042,8549-12701,,2,0.63,10.92,Sb2m(r),0,1,-1.631016383,0.085400995,0.638813028,0.002854847
91,241.8234,41.4036,0.035,8979-6102,,2,0.5,10.74,SBb3t,0,1,-1.31335854,0.072204516,0.637325059,0.029823246
92,242.7159,48.911,0.045,8565-3703,,2,0.4,10.63,Er,0.04,0.96,-1.529910529,-0.352988947,1.08246556,-0.104606231
93,244.1674,18.9196,0.035,11976-6101,,2,0.79,10.5,Ei,0,1,-1.139486955,-0.075258073,0.895399018,-0.110938613
94,245.2483,49.0018,0.058,8483-12703,,2,0.74,11.1,SBb,0.07,0.93,-1.077770783,0.148475422,0.57456144,0.010564385
95,246.6706,14.3788,0.048,8609-6103,,2,0.64,10.58,SBc?t,0.03,0.97,-1.137773696,-0.051214605,1.024225452,-0.037026589
96,246.8421,39.1096,0.033,12674-12703,,2,0.55,11.13,Sc4t,0,1,-1.570694693,-0.209407953,0.677395941,-0.005083983
97,247.636,39.3842,0.03,11943-6104,,2,0.7,10.76,Ei,0,1,-1.494706787,-0.18574945,0.700621537,-0.213805282
98,248.6287,37.6954,0.099,12667-12702,,2,0.44,11.35,Ei,0,1,-2.193486976,-0.267673846,0.93635985,-0.141957869
99,249.3184,44.4182,0.031,9026-9101,,2,0.64,11.06,SBb2m,0,1,-1.634910695,-0.064864373,0.85509129,0.169747132
100,249.5573,40.1468,0.03,8588-12704,,2,0.93,10.99,Sb2t,0.18,0.82,-1.755734406,-0.1174752,0.745714648,-0.014098278
101,250.2818,22.8236,0.034,11978-6103,,2,0.29,10.54,Er,0,1,-1.307098586,-0.220715709,0.834733062,-0.172968714
102,252.1098,31.9263,0.054,11951-12702,,2,0.72,10.89,SBc2m(r),0.06,0.94,-1.433345755,-0.163698881,0.923692882,0.041728328
104,253.6281,19.771,0.054,11981-3704,,2,0.74,11.37,Sb,0.35,0.65,-1.529153291,-0.006760568,0.923829098,0.076743683
105,254.3172,27.8496,0.034,11952-12704,,2,0.74,11.16,Sc2m,0.02,0.98,-1.871535827,-0.18746297,0.943982826,-0.143343765
107,254.5646,39.3915,0.034,8612-12704,,2,0.94,11.07,Ec,0.96,0.04,-1.471269677,-0.099262433,1.021232291,-0.015126575
108,258.8274,57.6588,0.028,7991-6104,,2,0.89,10.83,Ser,0.56,0.44,-1.518365296,-0.014526703,1.017869207,0.247794273
109,328.2462,-0.151,0.028,12066-6103,,2,0.69,10.76,Sb,0.05,0.95,-1.472502595,-0.243871941,1.106255239,0.017791876
110,328.5779,0.3554,0.067,12066-12705,,2,0.53,11.29,Sc+t(d),0.02,0.98,-1.307702227,0.040960899,0.623173313,0.025544011
111,334.4235,0.1521,0.045,12067-6104,,2,0.24,10.64,Er,0,1,-1.672653721,-0.175241555,0.711683234,0.193382915
