_RAJ2000_1,_DEJ2000_1,Source,RAJ2000_1,DEJ2000_1,Link,Speak,e_Speak,SpeakTot,e_SpeakTot,Maj,Min,e_Min,DCMaj,DCMin,PA,e_PA,DCPA,Islrms,SCode,Mosaic,Npoint,MaskFract,_RAJ2000_2,_DEJ2000_2,ID,RAJ2000_2,DEJ2000_2,z,IR,WISE,logLIR,e_logLIR,Xray,BAT,logLX,Rad,NVSS,FIRST,Class,logLRad,e_logLRad,Broad,logLBr,e_logLBr,DR15,Sloan,Simbad,NED,recno,Separation
224.02048,47.45337,ILTJ145604.92+472712.1,224.02048,47.45337,https://vo.astron.nl/getproduct/LoTSS-DR2/P225+47    ,140.972,0.47,749.744,3.661,18.06,9.1,0.03,17.03,6.85,82.49,0.36,82.49,0.47,M,P225+47    ,4,1,224.02037,47.453453,9033-6104  ,224.02037,47.453453,0.087519,0,1,0,0,0,0,0,1,1,0,LERG,46.160877,47.31763,0,0,0,1,Sloan,Simbad,NED,288,0.398602315
258.11832,35.88418,ILTJ171228.40+355303.0,258.11832,35.88418,https://vo.astron.nl/getproduct/LoTSS-DR2/P258+35    ,1.706,0.117,2.917,0.295,8,7.7,0.52,5.28,4.82,66.64,75.5,66.64,0.108,S,P258+35    ,4,0.72,258.11853,35.884087,8614-12703 ,258.11853,35.884087,0.027006,0,1,0,0,1,0,44.02788,0,0,0,,0,0,1,44.97417,5.751687,0,Sloan,Simbad,NED,183,0.704883152
256.818,34.82267,ILTJ170716.32+344921.6,256.818,34.82267,https://vo.astron.nl/getproduct/LoTSS-DR2/P258+35    ,3.659,0.142,7.654,0.415,8.77,8.59,0.33,6.4,6.14,92.63,74.73,92.63,0.13,S,P258+35    ,2,1,256.81775,34.822605,8613-12703 ,256.81775,34.822605,0.036965,1,1,44.3088,43.364677,0,0,0,0,0,0,,0,0,0,0,0,1,Sloan,Simbad,NED,181,0.758344989
147.17831,44.0777,ILTJ094842.80+440439.7,147.17831,44.0777,https://vo.astron.nl/getproduct/LoTSS-DR2/P148+45    ,0.516,0.084,1.58,0.333,14.48,7.62,1.05,13.18,4.7,75.74,14.25,75.74,0.084,S,P148+45    ,4,1,147.18182,44.081436,8458-12705 ,147.18182,44.081436,0.016181,0,1,0,0,0,0,0,1,1,0,,43.8091,44.94247,0,0,0,1,Sloan,Simbad,NED,137,16.22132661
212.50981,38.70626,ILTJ141002.35+384222.5,212.50981,38.70626,https://vo.astron.nl/getproduct/LoTSS-DR2/P211+40    ,5.648,0.098,32.108,0.834,17.22,10.71,0.15,16.14,8.87,178.73,1.91,178.73,0.098,M,P211+40    ,4,1,212.50975,38.70644,8337-12701 ,212.50975,38.70644,0.025678,0,1,0,0,0,0,0,1,1,1,,43.818222,44.951683,0,0,0,0,Sloan,Simbad,NED,116,0.667833926
211.24321,38.63425,ILTJ140458.37+383803.3,211.24321,38.63425,https://vo.astron.nl/getproduct/LoTSS-DR2/P211+40    ,8.3,0.098,10.62,0.2,7.04,6.55,0.07,3.68,2.62,81.28,6.63,81.28,0.093,S,P211+40    ,4,1,211.24313,38.634212,8336-6104  ,211.24313,38.634212,0.065372,0,1,0,0,0,0,0,1,1,1,LERG,44.73143,45.87412,0,0,0,0,Sloan,Simbad,NED,115,0.254735905
121.9208,39.00426,ILTJ080740.99+390015.3,121.9208,39.00426,https://vo.astron.nl/getproduct/LoTSS-DR2/P120+39    ,24.056,0.097,44.449,0.496,9.05,8.15,0.04,6.77,5.51,60.66,1.85,60.66,0.097,M,P120+39    ,3,1,121.92081,39.00424,9183-3703  ,121.92081,39.00424,0.023618,1,1,44.140156,43.201027,1,1,44.02788,1,1,1,,43.781677,44.91476,0,0,0,1,Sloan,Simbad,NED,341,0.085116942
121.52969,39.34214,ILTJ080607.12+392031.7,121.52969,39.34214,https://vo.astron.nl/getproduct/LoTSS-DR2/P120+39    ,8.159,0.085,16.043,0.654,10.09,6.99,0.07,8.11,3.58,161.55,1.55,161.55,0.085,M,P120+39    ,4,1,121.52962,39.34241,9182-3704  ,121.52962,39.34241,0.064848,0,1,0,0,0,0,0,1,1,1,LERG,44.714283,45.856796,0,0,0,1,Sloan,Simbad,NED,339,0.997905685
121.24421,38.26766,ILTJ080458.61+381603.5,121.24421,38.26766,https://vo.astron.nl/getproduct/LoTSS-DR2/P120+39    ,8.514,0.071,13.837,0.336,8.43,6.67,0.05,5.93,2.92,65.92,1.75,65.92,0.071,M,P120+39    ,4,1,121.24403,38.267696,9183-9101  ,121.24403,38.267696,0.036074,0,1,0,0,0,0,0,1,1,1,,43.956245,45.091114,0,0,0,1,Sloan,Simbad,NED,342,0.514636176
119.55499,38.53484,ILTJ075813.20+383205.4,119.55499,38.53484,https://vo.astron.nl/getproduct/LoTSS-DR2/P120+39    ,13.016,0.094,170.63,1.356,63.42,12.79,0.06,63.14,11.3,87.47,0.38,87.47,0.094,M,P120+39    ,3,1,119.55331,38.535313,9182-12701 ,119.55331,38.535313,0.095904,0,1,0,0,0,0,0,1,1,0,LERG,45.474625,46.62468,0,0,0,1,Sloan,Simbad,NED,338,5.044206833
